Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,0,324 791,0,0,0,0,0,0,0,0,0,0,,,,,324 791
Brutto – reasekuracja czynna proporcjonalna,R0120,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
Brutto – reasekuracja czynna nieproporcjonalna,R0130,,,,,,,,,,,,,8,0,0,0,8
Udział zakładu reasekuracji,R0140,0,9 930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 930
Netto,R0200,0,314 862,0,0,0,0,0,0,0,0,0,0,8,0,0,0,314 869
Składki zarobione,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,0,324 791,0,0,0,0,0,0,0,0,0,0,,,,,324 791
Brutto – reasekuracja czynna proporcjonalna,R0220,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
Brutto – reasekuracja czynna nieproporcjonalna,R0230,,,,,,,,,,,,,8,0,0,0,8
Udział zakładu reasekuracji,R0240,0,9 930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 930
Netto,R0300,0,314 862,0,0,0,0,0,0,0,0,0,0,8,0,0,0,314 869
Odszkodowania i świadczenia,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,0,117 735,0,0,0,0,0,0,0,0,0,0,,,,,117 735
Brutto – reasekuracja czynna proporcjonalna,R0320,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
Brutto – reasekuracja czynna nieproporcjonalna,R0330,,,,,,,,,,,,,0,0,0,0,0
Udział zakładu reasekuracji,R0340,0,5 833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 833
Netto,R0400,0,111 902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111 902
"Zmiana stanu pozostałych rezerw techniczno-
ubezpieczeniowych",,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,-930,0,0,0,0,0,0,0,0,0,0,,,,,-930
Brutto – reasekuracja czynna proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
Brutto – reasekuracja czynna nieproporcjonalna,R0430,,,,,,,,,,,,,0,0,0,0,0
Udział zakładu reasekuracji,R0440,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Netto,R0500,0,-927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-927
Koszty poniesione,R0550,0,108 565,0,0,0,0,0,0,0,0,0,0,2,0,0,0,108 567
Pozostałe koszty,R1200,,,,,,,,,,,,,,,,,3 192
Koszty ogółem,R1300,,,,,,,,,,,,,,,,,111 760
,,"Ubezpieczenia
pokrycia kosztów
świadczeń
medycznych","Ubezpieczenia na
wypadek utraty
dochodów","Ubezpieczenia
pracownicze","Ubezpieczenia
odpowiedzialności
cywilnej z tytułu
użytkowania
pojazdów
mechanicznych","Pozostałe
ubezpieczenia
pojazdów","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia od
ognia i innych
szkód rzeczowych","Ubezpieczenia
odpowiedzialności
cywilnej ogólnej","Ubezpieczenia
kredytów i
poręczeń","Ubezpieczenia
kosztów ochrony
prawnej","Ubezpieczenia
świadczenia
pomocy","Ubezpieczenia
różnych strat
finansowych","Ubezpieczenia
zdrowotne","Pozostałe
ubezpieczenia
osobowe","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia
majątkowe",
